,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE,NEAREST_NATIONAL_PARK_NAME
1935,T20180008293,02/05/18,19.35.00,3,Struck animal,3,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,425,E,9,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,330001,N,2467993.179,2433350.523,MELTON,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.60007,144.63752,3337,Organ Pipes National Park
1936,T20180008479,04/05/18,05.30.00,3,Struck animal,5,Friday,167,STRUCK ANIMAL                        ,VCS,9,58,G,2,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,330072,N,2402996.825,2497807.918,MOUNT ALEXANDER,NORTHERN REGION,RURAL_VICTORIA,-37.01475,143.90982,3465,Kara Kara National Park
1937,T20180008619,07/05/18,12.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,40,G,9,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,888,330165,N,2265980.709,2498635.667,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-36.98317,142.37076,3401,Grampians National Park
1938,T20180008730,08/05/18,19.00.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,85,H,5,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,80,330297,N,2797933.501,2411901.248,EAST GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-37.74621,148.38139,3888,Snowy River National Park
1939,T20180008815,09/05/18,21.20.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,98,D,7,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,331184,N,2652021.688,2349747.348,WELLINGTON,EASTERN REGION,RURAL_VICTORIA,-38.34132,146.73879,3847,Tarra-Bulga National Park
1940,T20180009147,15/05/18,04.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,33,E,2,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,335607,N,2567808.086,2604558.784,MOIRA,NORTH EASTERN REGION,RURAL_VICTORIA,-36.05525,145.7526,3649,Warby-Ovens National Park
1941,T20180009340,17/05/18,15.25.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,91,D,8,1,Day,1,2,0,2,0,0,1,5,Not at intersection,3,100,331283,N,2338594.975,2340681.971,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.42137,143.1519,3266,Port Campbell National Park
1942,T20180009390,18/05/18,01.15.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,23,D,9,6,Dark Street lights unknown,1,2,0,2,0,0,2,5,Not at intersection,3,80,330940,N,2565195.573,2613905.952,MOIRA,NORTH EASTERN REGION,RURAL_VICTORIA,-35.97119,145.72282,3644,Lower Goulburn National Park
1943,T20180009437,18/05/18,18.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,56,C,4,2,Dusk/Dawn,1,1,1,0,0,0,1,5,Not at intersection,2,100,331275,N,2291413.34,2481761.416,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.14118,142.6517,3381,Grampians National Park
1944,T20180010433,03/06/18,09.20.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,46,C,3,1,Day,1,2,0,2,0,0,1,5,Not at intersection,3,100,331217,N,2510405.518,2544316.178,CAMPASPE,NORTHERN REGION,RURAL_VICTORIA,-36.60055,145.11631,3612,Heathcote-Graytown National Park
1945,T20180011254,15/06/18,20.40.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,32,J,6,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,331824,N,2541458.614,2580820.37,SHEPPARTON,NORTH EASTERN REGION,RURAL_VICTORIA,-36.2707,145.46143,3634,Lower Goulburn National Park
1946,T20180011270,02/06/18,22.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,102,H,5,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,331630,N,2577795.374,2306402.405,SOUTH GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-38.74092,145.89454,3956,Wilsons Promontory National Park
1947,T20180011921,25/06/18,08.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,60,F,2,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,189199,N,2488432.662,2497568.923,MITCHELL,NORTHERN REGION,RURAL_VICTORIA,-37.02184,144.86999,3662,Heathcote-Graytown National Park
1948,T20180012029,27/06/18,06.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,34,G,7,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,332087,N,2620836.688,2570731.056,WANGARATTA,NORTH EASTERN REGION,RURAL_VICTORIA,-36.35484,146.34641,3678,Warby-Ovens National Park
1949,T20180012160,29/06/18,07.25.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,417,D,9,2,Dusk/Dawn,1,1,0,1,0,0,1,5,Not at intersection,3,100,332157,N,2502612.245,2457226.924,MITCHELL,NORTHERN REGION,RURAL_VICTORIA,-37.38546,145.0295,3758,Kinglake National Park
1950,T20180012579,01/07/18,21.38.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,97,H,6,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,332234,N,2624467.402,2358801.501,LATROBE,EASTERN REGION,RURAL_VICTORIA,-38.26389,146.42214,3840,Morwell National Park
1951,T20180012598,01/07/18,19.20.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCD,9,417,A,4,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,80,332249,N,2497642.441,2467971.815,MITCHELL,NORTHERN REGION,RURAL_VICTORIA,-37.28863,144.97341,3764,Kinglake National Park
1952,T20180012626,05/07/18,17.45.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,97,F,8,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,332833,N,2609804.016,2345639.588,LATROBE,EASTERN REGION,RURAL_VICTORIA,-38.3843,146.2566,3870,Morwell National Park
1953,T20180012716,07/07/18,00.10.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,76,B,4,6,Dark Street lights unknown,1,1,0,1,0,0,2,5,Not at intersection,3,999,332273,N,2374812.313,2423465.554,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.68128,143.58065,3360,Brisbane Ranges National Park
1954,T20180012838,09/07/18,07.00.00,3,Struck animal,1,Monday,167,STRUCK ANIMAL                        ,VCS,9,62,D,7,2,Dusk/Dawn,1,2,0,1,0,1,2,5,Not at intersection,3,100,335792,I,2563034.741,2459908.156,MURRINDINDI,NORTH EASTERN REGION,RURAL_VICTORIA,-37.35918,145.71162,3714,Lake Eildon National Park
